,Address,Price,Size,Max_occupancy
2732,330 Hudson Street - 15th Floor,To ask,"17,175",114
2733,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2734,233 Spring Street - 8th Floor,To ask,"13,000",86
2735,71 5th Avenue - 4th Floor,To ask,"15,211",101
2736,40 East 33rd Street - Building Suite,To ask,"14,073",93
2737,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2738,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2739,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2740,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2741,841 Broadway - 7th Floor,To ask,"13,789",91
2742,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2743,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2744,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2745,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2746,460 Park Avenue South - Office Space,To ask,"15,500",103
2747,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2748,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2749,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2750,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2751,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2752,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2753,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2754,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2755,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2756,330 Hudson Street - 15th Floor,To ask,"17,175",114
2757,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2758,233 Spring Street - 8th Floor,To ask,"13,000",86
2759,71 5th Avenue - 4th Floor,To ask,"15,211",101
2760,40 East 33rd Street - Building Suite,To ask,"14,073",93
2761,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2762,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2763,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2764,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2765,841 Broadway - 7th Floor,To ask,"13,789",91
2766,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2767,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2768,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2769,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2770,460 Park Avenue South - Office Space,To ask,"15,500",103
2771,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2772,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2773,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2774,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2775,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2776,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2777,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2778,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2779,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2780,330 Hudson Street - 15th Floor,To ask,"17,175",114
2781,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2782,233 Spring Street - 8th Floor,To ask,"13,000",86
2783,71 5th Avenue - 4th Floor,To ask,"15,211",101
2784,40 East 33rd Street - Building Suite,To ask,"14,073",93
2785,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2786,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2787,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2788,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2789,841 Broadway - 7th Floor,To ask,"13,789",91
2790,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2791,233 Park Avenue South - 12th Floor,To ask,"13,343",88
2792,609 Greenwich Street - 9th Floor,To ask,"16,457",109
2793,218 West 18th Street - 3rd Floor,To ask,"13,420",89
2794,460 Park Avenue South - Office Space,To ask,"15,500",103
2795,135 Madison Avenue - 2nd Floor,To ask,"15,038",100
2796,620 Avenue of the Americas - 3rd Floor - Suite 1,To ask,"13,852",92
2797,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,882",92
2798,200 Park Avenue South - 58th Floor,To ask,"13,764",91
2799,60 Madison Avenue - 8th Floor,To ask,"17,177",114
2800,475 Park Avenue South - 7th Floor,To ask,"16,947",112
2801,475 Park Avenue South - 16th Floor,To ask,"13,607",90
2802,1245 Broadway Street - 2nd Floor,To ask,"14,703",98
2803,635 Avenue of the Americas - 8th Floor,To ask,"13,090",87
2804,330 Hudson Street - 15th Floor,To ask,"17,175",114
2805,381 Park Avenue South - 9th Floor,To ask,"13,128",87
2806,233 Spring Street - 8th Floor,To ask,"13,000",86
2807,71 5th Avenue - 4th Floor,To ask,"15,211",101
2808,40 East 33rd Street - Building Suite,To ask,"14,073",93
2809,15 Little West 12 Street - 3rd Floor,To ask,"17,585",117
2810,15 Little West 12 Street - 2nd Floor,To ask,"16,965",113
2811,3 Park Avenue - 15th Floor - Partial Suite,To ask,"13,884",92
2812,355 Park Avenue South - 3rd Floor,To ask,"16,598",110
2813,841 Broadway - 7th Floor,To ask,"13,789",91
2814,381 Park Avenue South - 16th Floor - B Suite,To ask,"13,067",87
2815,233 Park Avenue South - 12th Floor,To ask,"13,343",88
