,Address,Price,Size,Max_occupancy
1160,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1161,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1162,1201 Broadway - 10th Floor,To ask,"13,670",91
1163,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1164,860 Broadway - 3rd Floor,To ask,"13,815",92
1165,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1166,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1167,33 Irving Place - 11th Floor,To ask,"16,000",106
1168,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1169,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1170,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1171,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1172,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1173,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1174,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1175,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1176,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1177,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1178,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1179,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1180,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1181,520 West 20th Street - 6th Floor,To ask,"13,088",87
1182,520 West 20th Street - 4th Floor,To ask,"17,400",116
1183,520 West 20th Street - 7th Floor,To ask,"13,088",87
1184,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1185,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1186,1201 Broadway - 10th Floor,To ask,"13,670",91
1187,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1188,860 Broadway - 3rd Floor,To ask,"13,815",92
1189,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1190,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1191,33 Irving Place - 11th Floor,To ask,"16,000",106
1192,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1193,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1194,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1195,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1196,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1197,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1198,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1199,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1200,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1201,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1202,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1203,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1204,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1205,520 West 20th Street - 6th Floor,To ask,"13,088",87
1206,520 West 20th Street - 4th Floor,To ask,"17,400",116
1207,520 West 20th Street - 7th Floor,To ask,"13,088",87
1208,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1209,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1210,1201 Broadway - 10th Floor,To ask,"13,670",91
1211,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1212,860 Broadway - 3rd Floor,To ask,"13,815",92
1213,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1214,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1215,33 Irving Place - 11th Floor,To ask,"16,000",106
1216,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1217,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1218,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1219,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1220,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1221,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1222,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1223,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1224,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1225,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1226,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1227,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1228,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1229,520 West 20th Street - 6th Floor,To ask,"13,088",87
1230,520 West 20th Street - 4th Floor,To ask,"17,400",116
1231,520 West 20th Street - 7th Floor,To ask,"13,088",87
1232,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1233,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1234,1201 Broadway - 10th Floor,To ask,"13,670",91
1235,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1236,860 Broadway - 3rd Floor,To ask,"13,815",92
1237,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1238,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1239,33 Irving Place - 11th Floor,To ask,"16,000",106
1240,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1241,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1242,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1243,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1244,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1245,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1246,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1247,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1248,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1249,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1250,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1251,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1252,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1253,520 West 20th Street - 6th Floor,To ask,"13,088",87
1254,520 West 20th Street - 4th Floor,To ask,"17,400",116
1255,520 West 20th Street - 7th Floor,To ask,"13,088",87
1256,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1257,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1258,1201 Broadway - 10th Floor,To ask,"13,670",91
1259,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1260,860 Broadway - 3rd Floor,To ask,"13,815",92
1261,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1262,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1263,33 Irving Place - 11th Floor,To ask,"16,000",106
1264,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1265,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1266,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1267,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1268,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1269,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1270,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1271,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1272,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1273,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1274,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1275,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1276,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1277,520 West 20th Street - 6th Floor,To ask,"13,088",87
1278,520 West 20th Street - 4th Floor,To ask,"17,400",116
1279,520 West 20th Street - 7th Floor,To ask,"13,088",87
1280,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1281,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1282,1201 Broadway - 10th Floor,To ask,"13,670",91
1283,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1284,860 Broadway - 3rd Floor,To ask,"13,815",92
1285,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1286,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1287,33 Irving Place - 11th Floor,To ask,"16,000",106
1288,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1289,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1290,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1291,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1292,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1293,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1294,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1295,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1296,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1297,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1298,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1299,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1300,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1301,520 West 20th Street - 6th Floor,To ask,"13,088",87
1302,520 West 20th Street - 4th Floor,To ask,"17,400",116
1303,520 West 20th Street - 7th Floor,To ask,"13,088",87
1304,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1305,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1306,1201 Broadway - 10th Floor,To ask,"13,670",91
1307,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1308,860 Broadway - 3rd Floor,To ask,"13,815",92
1309,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1310,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1311,33 Irving Place - 11th Floor,To ask,"16,000",106
1312,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1313,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1314,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1315,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1316,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1317,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1318,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1319,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1320,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1321,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1322,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1323,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1324,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1325,520 West 20th Street - 6th Floor,To ask,"13,088",87
1326,520 West 20th Street - 4th Floor,To ask,"17,400",116
1327,520 West 20th Street - 7th Floor,To ask,"13,088",87
1328,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1329,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1330,1201 Broadway - 10th Floor,To ask,"13,670",91
1331,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1332,860 Broadway - 3rd Floor,To ask,"13,815",92
1333,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1334,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1335,33 Irving Place - 11th Floor,To ask,"16,000",106
1336,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1337,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1338,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1339,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1340,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1341,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1342,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1343,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1344,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1345,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1346,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1347,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1348,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1349,520 West 20th Street - 6th Floor,To ask,"13,088",87
1350,520 West 20th Street - 4th Floor,To ask,"17,400",116
1351,520 West 20th Street - 7th Floor,To ask,"13,088",87
1352,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1353,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1354,1201 Broadway - 10th Floor,To ask,"13,670",91
1355,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1356,860 Broadway - 3rd Floor,To ask,"13,815",92
1357,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1358,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1359,33 Irving Place - 11th Floor,To ask,"16,000",106
1360,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1361,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1362,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1363,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1364,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1365,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1366,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1367,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1368,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1369,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1370,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1371,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1372,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1373,520 West 20th Street - 6th Floor,To ask,"13,088",87
1374,520 West 20th Street - 4th Floor,To ask,"17,400",116
1375,520 West 20th Street - 7th Floor,To ask,"13,088",87
1376,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1377,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1378,1201 Broadway - 10th Floor,To ask,"13,670",91
1379,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1380,860 Broadway - 3rd Floor,To ask,"13,815",92
1381,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1382,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1383,33 Irving Place - 11th Floor,To ask,"16,000",106
1384,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1385,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1386,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1387,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1388,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1389,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1390,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1391,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1392,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1393,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1394,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1395,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1396,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1397,520 West 20th Street - 6th Floor,To ask,"13,088",87
1398,520 West 20th Street - 4th Floor,To ask,"17,400",116
1399,520 West 20th Street - 7th Floor,To ask,"13,088",87
1400,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1401,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1402,1201 Broadway - 10th Floor,To ask,"13,670",91
1403,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1404,860 Broadway - 3rd Floor,To ask,"13,815",92
1405,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1406,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1407,33 Irving Place - 11th Floor,To ask,"16,000",106
1408,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1409,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1410,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1411,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1412,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1413,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1414,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1415,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1416,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1417,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1418,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1419,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1420,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1421,520 West 20th Street - 6th Floor,To ask,"13,088",87
1422,520 West 20th Street - 4th Floor,To ask,"17,400",116
1423,520 West 20th Street - 7th Floor,To ask,"13,088",87
1424,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1425,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1426,1201 Broadway - 10th Floor,To ask,"13,670",91
1427,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1428,860 Broadway - 3rd Floor,To ask,"13,815",92
1429,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1430,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1431,33 Irving Place - 11th Floor,To ask,"16,000",106
1432,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1433,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1434,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1435,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1436,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1437,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1438,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1439,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1440,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1441,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1442,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1443,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1444,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1445,520 West 20th Street - 6th Floor,To ask,"13,088",87
1446,520 West 20th Street - 4th Floor,To ask,"17,400",116
1447,520 West 20th Street - 7th Floor,To ask,"13,088",87
1448,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1449,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1450,1201 Broadway - 10th Floor,To ask,"13,670",91
1451,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1452,860 Broadway - 3rd Floor,To ask,"13,815",92
1453,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1454,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1455,33 Irving Place - 11th Floor,To ask,"16,000",106
1456,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1457,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1458,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1459,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1460,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1461,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1462,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1463,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1464,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1465,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1466,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1467,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1468,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1469,520 West 20th Street - 6th Floor,To ask,"13,088",87
1470,520 West 20th Street - 4th Floor,To ask,"17,400",116
1471,520 West 20th Street - 7th Floor,To ask,"13,088",87
1472,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1473,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1474,1201 Broadway - 10th Floor,To ask,"13,670",91
1475,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1476,860 Broadway - 3rd Floor,To ask,"13,815",92
1477,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1478,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1479,33 Irving Place - 11th Floor,To ask,"16,000",106
1480,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1481,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1482,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1483,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1484,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1485,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1486,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1487,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1488,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1489,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1490,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1491,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1492,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1493,520 West 20th Street - 6th Floor,To ask,"13,088",87
1494,520 West 20th Street - 4th Floor,To ask,"17,400",116
1495,520 West 20th Street - 7th Floor,To ask,"13,088",87
1496,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1497,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1498,1201 Broadway - 10th Floor,To ask,"13,670",91
1499,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1500,860 Broadway - 3rd Floor,To ask,"13,815",92
1501,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1502,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1503,33 Irving Place - 11th Floor,To ask,"16,000",106
1504,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1505,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1506,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1507,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1508,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1509,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1510,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1511,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1512,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1513,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1514,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1515,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1516,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1517,520 West 20th Street - 6th Floor,To ask,"13,088",87
1518,520 West 20th Street - 4th Floor,To ask,"17,400",116
1519,520 West 20th Street - 7th Floor,To ask,"13,088",87
1520,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1521,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1522,1201 Broadway - 10th Floor,To ask,"13,670",91
1523,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1524,860 Broadway - 3rd Floor,To ask,"13,815",92
1525,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1526,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1527,33 Irving Place - 11th Floor,To ask,"16,000",106
1528,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1529,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1530,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1531,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1532,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1533,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1534,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1535,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1536,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1537,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1538,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1539,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1540,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1541,520 West 20th Street - 6th Floor,To ask,"13,088",87
1542,520 West 20th Street - 4th Floor,To ask,"17,400",116
1543,520 West 20th Street - 7th Floor,To ask,"13,088",87
1544,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1545,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1546,1201 Broadway - 10th Floor,To ask,"13,670",91
1547,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1548,860 Broadway - 3rd Floor,To ask,"13,815",92
1549,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1550,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1551,33 Irving Place - 11th Floor,To ask,"16,000",106
1552,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1553,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1554,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1555,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1556,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1557,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1558,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1559,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1560,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1561,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1562,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1563,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1564,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1565,520 West 20th Street - 6th Floor,To ask,"13,088",87
1566,520 West 20th Street - 4th Floor,To ask,"17,400",116
1567,520 West 20th Street - 7th Floor,To ask,"13,088",87
1568,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1569,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1570,1201 Broadway - 10th Floor,To ask,"13,670",91
1571,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1572,860 Broadway - 3rd Floor,To ask,"13,815",92
1573,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1574,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1575,33 Irving Place - 11th Floor,To ask,"16,000",106
1576,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1577,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1578,200 Park Avenue South - 4th Floor,To ask,"17,853",119
1579,287 Park Avenue South - 9th Floor,To ask,"15,338",102
1580,250 Hudson Street - 10th Floor - Partial Suite,To ask,"14,053",93
1581,175 Varick Street - 3rd Floor - Suite 300,To ask,"16,932",112
1582,60 Madison Avenue - 6th Floor,To ask,"16,426",109
1583,450 Park Avenue South - 7th Floor,To ask,"15,500",103
1584,555 Greenwich Street - 13th Floor,To ask,"15,353",102
1585,555 Greenwich Street - 12th Floor,To ask,"15,353",102
1586,555 Greenwich Street - 14th Floor,To ask,"15,353",102
1587,1 East 33rd Street - 3rd Floor - Suite 300,To ask,"13,027",86
1588,520 West 20th Street - 3rd Floor,To ask,"17,400",116
1589,520 West 20th Street - 6th Floor,To ask,"13,088",87
1590,520 West 20th Street - 4th Floor,To ask,"17,400",116
1591,520 West 20th Street - 7th Floor,To ask,"13,088",87
1592,520 West 20th Street - 2nd Floor,To ask,"17,400",116
1593,24-32 Union Square East - 4th Floor,To ask,"13,559",90
1594,1201 Broadway - 10th Floor,To ask,"13,670",91
1595,15 Little West 12 Street - 5th Floor,To ask,"13,335",88
1596,860 Broadway - 3rd Floor,To ask,"13,815",92
1597,15 Little West 12 Street - 4th Floor,To ask,"16,845",112
1598,257 Park Avenue South - 18th Floor,To ask,"15,089",100
1599,33 Irving Place - 11th Floor,To ask,"16,000",106
1600,13-15 West 27th Street - 5th Floor,To ask,"16,845",112
1601,13-15 West 27th Street - 4th Floor,To ask,"13,335",88
1602,200 Park Avenue South - 4th Floor,To ask,"17,853",119
